,0
id,int64
member_id,int64
loan_amnt,int64
funded_amnt,int64
funded_amnt_inv,float64
term,int64
int_rate,float64
installment,float64
grade,object
sub_grade,object
emp_title,object
emp_length,int64
home_ownership,object
annual_inc,float64
verification_status,object
issue_d,object
loan_status,object
pymnt_plan,object
url,object
purpose,object
title,object
zip_code,object
addr_state,object
dti,float64
delinq_2yrs,int64
earliest_cr_line,object
inq_last_6mths,int64
open_acc,int64
pub_rec,int64
revol_bal,int64
revol_util,float64
total_acc,int64
initial_list_status,object
out_prncp,float64
out_prncp_inv,float64
total_pymnt,float64
total_pymnt_inv,float64
total_rec_prncp,float64
total_rec_int,float64
total_rec_late_fee,float64
recoveries,float64
collection_recovery_fee,float64
last_pymnt_d,object
last_pymnt_amnt,float64
last_credit_pull_d,object
policy_code,int64
application_type,object
pub_rec_bankruptcies,float64
last_pymnt_d_month,float64
last_pymnt_d_year,float64
